x,Data
-0.93402,1.69914
-0.92636,1.73283
-0.8369,1.62958
-0.75482,1.55104
-0.73572,1.6229
-0.67249,1.52189
-0.6353,1.46353
-0.56058,1.41192
-0.56008,1.51073
-0.39632,1.27279
-0.3809,1.35813
-0.35814,1.41204
-0.29915,1.21447
-0.24628,1.29084
-0.20852,1.34476
-0.20199,1.15165
-0.17948,1.15615
-0.14217,1.12024
-0.1346,1.13372
-0.11213,1.12924
-0.10477,1.1023
-0.08219,1.12028
-0.05985,1.08885
-0.02952,1.15623
0.01488,1.03949
0.05228,1.02155
0.06002,1.07095
0.08961,0.99013
0.10447,0.96319
0.11953,0.97668
0.14941,0.95424
0.18683,0.94079
0.21676,0.92733
0.23918,0.91387
0.27692,0.96329
0.29898,0.87797
0.32139,0.86002
0.34375,0.83309
0.3587,0.82412
0.39616,0.81965
0.41852,0.79271
0.44095,0.77925
0.44858,0.8062
0.46339,0.77028
0.49323,0.73886
0.55301,0.69848
0.59074,0.7479
0.61238,0.57725
0.67304,0.71202
0.72494,0.59528
0.75538,0.68512
0.8,0.61329
0.81498,0.6088
0.85983,0.58188
0.86717,0.55045
0.89714,0.54598
0.92713,0.54599
0.94951,0.52355
0.9571,0.54152
0.98671,0.46519
0.98695,0.51459
1.02435,0.49665
1.04675,0.47869
1.05414,0.45624
1.07652,0.4338
1.09161,0.45177
1.10644,0.42034
1.13643,0.42036
1.14384,0.4024
1.16634,0.40241
1.17388,0.4114
1.18881,0.39794
1.26345,0.33061
1.33844,0.33515
1.35313,0.27228
1.4431,0.27233
1.4952,0.19601
1.53291,0.24094
1.5775,0.16013
1.59278,0.21852
1.76491,0.15574
1.83976,0.12884
1.98208,0.10197
2.01986,0.16038
2.06453,0.09753
2.11726,0.14696
2.19958,0.11557
2.29709,0.12461
2.34197,0.10218
2.55929,0.07984
2.61909,0.04395
2.74646,0.02606
2.84384,0.00815
3.02367,-0.01421
3.13611,-0.01864
3.20359,-0.0186
3.30847,-0.0365
3.47342,-0.03641
3.58593,-0.02737
3.67599,-0.00935
3.72105,0.00415
3.781,-0.00031
3.9385,0.00876
3.94618,0.04469
3.98369,0.0492
4.11128,0.07622
4.12601,0.02234
4.18599,0.02237
4.29857,0.04489
4.29888,0.10777
4.33603,0.04042
4.41853,0.04496
4.4784,0.02254
4.50137,0.11686
4.54588,0.02257
4.54624,0.09443
4.57614,0.07648
4.5985,0.04955
4.59854,0.05853
4.61356,0.06303
4.61365,0.081
4.64364,0.08101
4.66582,0.01815
4.666,0.05408
4.66613,0.08103
4.70331,0.01817
4.70353,0.06308
4.7111,0.07656
4.72576,0.0092
4.74082,0.02268
4.74098,0.05412
4.74104,0.06759
4.77103,0.06761
4.77846,0.05414
4.80848,0.05865
4.82325,0.01375
4.82334,0.03171
4.8459,0.0452
4.85346,0.05868
4.86076,0.01826
4.86812,-0.00868
4.88339,0.04522
4.89823,0.01379
4.92076,0.02278
4.92092,0.05422
4.92112,0.09464
4.95841,0.05424
4.95861,0.09466
4.96562,-0.00414
4.96629,0.13059
4.9811,0.09468
4.98853,0.08121
4.99592,0.05876
4.99599,0.07223
5.03343,0.06327
5.03359,0.0947
5.06326,0.03185
5.06342,0.06328
5.08571,0.02288
5.10066,0.0139
5.10089,0.05881
5.10816,0.01391
5.161,0.08579
5.19055,-0.00401
5.25086,0.06339
5.28828,0.04994
5.2884,0.07239
5.31803,0.00055
5.36326,0.04998
5.39316,0.03203
5.43045,-0.00837
5.43808,0.01858
5.46794,-0.00835
5.46812,0.02758
5.50543,-0.00832
5.54969,-0.15201
5.5789,-0.30918
5.61587,-0.41245
5.63773,-0.53819
5.66764,-0.55614
5.6827,-0.54266
5.69008,-0.56511
5.69763,-0.55612
5.70503,-0.57408
5.71271,-0.53815
5.7128,-0.52018
5.7427,-0.53813
5.74279,-0.52017
5.74993,-0.59202
5.7577,-0.53812
5.76529,-0.52015
5.77325,-0.42584
5.78033,-0.51116
5.78829,-0.41685
5.81025,-0.52462
5.81034,-0.50666
5.81045,-0.4842
5.84001,-0.56951
5.8478,-0.51113
5.86325,-0.4213
5.87788,-0.49314
5.91544,-0.47965
5.91555,-0.4572
5.93005,-0.55599
5.93066,-0.43473
5.93793,-0.47964
5.96043,-0.47963
5.96804,-0.45717
5.99044,-0.47512
5.99048,-0.46614
5.99057,-0.44817
6.03547,-0.46611
6.0427,-0.52
6.04315,-0.43018
6.06546,-0.46609
6.06553,-0.45262
6.06557,-0.44364
6.06564,-0.43017
6.08795,-0.46608
6.10268,-0.51996
6.10302,-0.4526
6.11045,-0.46607
6.11826,-0.40319
6.1183,-0.39421
6.11839,-0.37624
6.14064,-0.42563
6.14102,-0.34928
6.15582,-0.3897
6.16309,-0.4346
6.18527,-0.49746
6.18587,-0.37621
6.18596,-0.35824
6.20868,-0.31332
6.21595,-0.35822
6.32146,-0.25038
6.41909,-0.21889
6.53184,-0.16044
6.59192,-0.14244
6.64429,-0.16487
6.6593,-0.16037
6.66723,-0.07504
6.6822,-0.07952
6.71213,-0.09298
6.74209,-0.09745
6.7869,-0.13335
6.85429,-0.15128
6.92938,-0.12878
