x,Curve1
-0.20262,1.83181
-0.04745,1.9351
0.02019,2.03316
0.04552,1.93215
0.07264,2.06126
0.10711,2.02731
0.15297,2.07882
0.21261,2.18879
0.26012,2.20059
0.26594,2.56932
0.31682,2.21462
0.33732,2.21462
0.40667,2.54825
0.41737,2.50845
0.42313,2.48738
0.5337,2.60327
0.59172,2.79526
0.59518,2.61732
0.59522,2.58103
0.6066,2.67936
0.61894,2.63605
0.64438,2.61498
0.64595,2.68522
0.65828,2.65946
0.67038,2.84677
0.6827,2.82921
0.73108,2.82452
0.7637,2.9931
0.8,2.78238
0.80685,2.96755
0.81647,2.71214
0.82213,2.79175
0.82963,2.92035
0.83934,2.80111
0.93283,3.0177
0.96386,2.97935
0.97609,3.14159
0.98231,3.12684
0.9844,3.10029
1.02179,2.90265
1.0236,3.15929
1.0402,3.0826
1.06705,3.02588
1.09248,3.01417
1.10297,3.17689
1.11283,3.15699
1.12265,3.17221
1.12493,3.0708
1.15053,3.17455
1.16194,3.23894
1.25848,3.44731
1.26832,3.44263
1.31094,3.45667
1.39953,3.42858
1.41255,3.51755
1.42904,3.42858
1.48149,3.46136
1.64293,3.64307
1.74346,3.85001
1.79922,3.85001
1.81881,3.93898
