Complexity,Loss,Equation
1,0.042306043,"1.7113855"
6,0.019535033,"((s + 13.727277) ^ 0.17627718)"
8,0.0034988876,"((-1.6596179 / (s + 2.4211984)) + 1.9949926)"
10,0.0018135253,"((-1.8075694 / ((s ^ -2.591926) + 2.3669522)) + 1.9947683)"
11,0.0006100414,"((-1.1207247 / ((s ^ -1.3132687) + s)) + 2.0146902)"
13,8.093281e-5,"((-1.6064123 / ((s ^ -1.8517632) + (s * 1.7520361))) + 1.9947683)"
15,1.9265803e-5,"((-2.3797574 / (((s * 2.200472) + 0.8738863) + (s ^ -2.1462622))) + 2.0013459)"
17,1.4195341e-5,"((-2.2336655 / ((((s ^ -2.2749984) / 1.2206093) + (s * 2.0017257)) + 0.9984093)) + 2.0017257)"
19,1.3969953e-5,"((-2.2336655 / ((((s ^ -2.2749984) / 1.2297795) + ((s ^ 0.99387854) * 2.0046144)) + 0.9986959)) + 2.002576)"
21,1.3937932e-5,"((-2.2336655 / ((((s ^ -2.2749984) * 0.8146814) + (((s ^ 0.9929927) / 0.9984093) * 2.0046144)) + 0.99387854)) + 2.002576)"
22,1.2260036e-5,"((-1.9831183 / ((((((s ^ -1.9803475) * 0.40336508) + 2.017273) / s) / 1.6828101) + (s * 1.9949926))) + 1.9973366)"
24,1.0688398e-5,"((-2.2336655 / ((((1.7000058 / s) / ((exp(0.7671696) * s) + -0.20517512)) + s) + (s + 0.9575738))) + 2.0017257)"
26,1.0157135e-5,"((-1.9846926 / (((((((s ^ -2.0007963) * 0.20603855) + 1.9967787) / (s ^ 1.3432903)) + 0.29972446) / 1.7354171) + (s * 1.9967787))) + 1.9967787)"
28,1.0085714e-5,"((-1.9846926 / (((((((s ^ -2.0024834) * 0.20603855) + 1.9947683) / (s ^ 1.3432903)) + 0.30319798) / 1.7354171) + ((s ^ 0.99843645) * 1.9967787))) + 1.9967787)"
29,6.3510465e-6,"((-1.9773545 / ((((((s ^ -2.1493883) * 0.30599472) + 2.0046144) / s) / 1.6787429) + (s * ((0.019828007 ^ (s ^ 2.8724904)) + 2.0034502)))) + 1.9967787)"
